Designator,Mid X,Mid Y,Rotation,Layer
C708,109.28,-124.88,0.0,top
C801,138.5675,-58.8125,90.0,bottom
C802,139.0675,-57.6875,0.0,bottom
C803,126.91,-78.563,90.0,top
C804,130.0925,-60.2675,90.0,bottom
C805,135.68,-60.1,90.0,bottom
C806,132.23,-77.87,90.0,top
C807,135.26,-76.19,90.0,bottom
C808,129.4925,-58.7675,0.0,bottom
C809,127.53,-70.28,270.0,bottom
C810,130.83,-71.46,0.0,bottom
C811,130.21,-73.668,90.0,bottom
C812,127.31,-73.688,90.0,bottom
C813,130.11,-70.608,0.0,bottom
C814,129.61,-71.988,90.0,bottom
C815,140.7,-63.64,180.0,top
C816,129.41,-73.788,90.0,bottom
C817,128.2925,-60.2375,90.0,bottom
C819,128.13,-72.42,0.0,bottom
C820,128.29,-70.35,270.0,bottom
C821,128.01,-73.668,90.0,bottom
C822,135.18,-58.7,0.0,bottom
C825,133.655,-60.1,90.0,bottom
D1201,75.16,-77.91,90.0,bottom
D201,105.23,-54.9325,270.0,top
D601,50.04,-73.41,180.0,bottom
D602,50.09,-75.16,180.0,bottom
D801,126.1675,-56.4375,270.0,top
D802,131.955,-56.4125,270.0,top
FID101,122.66,-62.13,0.0,top
FID102,61.77,-60.28,0.0,top
FID103,74.25,-143.37,0.0,top
FID104,113.16,-142.26,0.0,top
FID105,113.16,-142.26,180.0,bottom
FID106,74.25,-143.37,180.0,bottom
FID107,61.77,-60.28,180.0,bottom
FID108,122.66,-62.13,180.0,bottom
IC1,88.9,-87.85,0.0,top
IC1101,127.79225,-96.10775,0.0,top
J1001,97.185,-140.13,0.0,top
J1002,97.66,-130.715,0.0,top
J1003,69.96,-136.185,90.0,top
J1004,65.355,-132.96,180.0,bottom
J1005,69.9,-145.585,270.0,top
J1006,84.5225,-130.8,180.0,top
J1007,53.445,-137.825,270.0,top
J1008,84.1125,-140.46,180.0,top
J1009,123.48,-140.08016,0.0,bottom
J1010,123.53,-135.78016,0.0,bottom
J1011,65.3675,-128.52,180.0,bottom
J1201,54.115,-84.99,90.0,top
J201,114.93,-55.43,90.0,top
J701,119.85,-126.74,90.0,top
J702,131.875,-118.225,180.0,top
J703,56.98,-119.57,0.0,top
J704,57.025,-102.245,0.0,top
J801,141.03,-70.37,270.0,bottom
J903,53.35,-55.27,90.0,top
L1001,94.185,-119.37,270.0,bottom
L1101,134.52225,-92.96775,0.0,top
L1102,134.46225,-94.78775,180.0,bottom
L1201,64.99,-88.0175,270.0,bottom
L1202,69.14,-78.25,90.0,bottom
L1203,66.55,-90.04,90.0,bottom
L201,76.055,-61.965,0.0,top
L202,67.355,-62.57,0.0,top
L203,84.505,-61.815,0.0,top
L204,91.705,-62.815,0.0,top
L401,88.8625,-74.91,180.0,bottom
L801,141.33,-63.68,180.0,bottom
Q201,102.290002,-54.679999,0.0,top
R1001,129.06,-130.8,90.0,bottom
R1002,138.655,-135.96,0.0,bottom
R1003,135.605,-135.96,0.0,bottom
R1004,138.655,-140.51,0.0,bottom
R1005,135.63,-140.51,180.0,bottom
R1006,94.91,-139.43,270.0,bottom
R1009,96.4175,-136.2425,270.0,top
R1010,95.525,-128.36,270.0,top
R1012,91.6,-141.99,90.0,top
R1013,91.6,-139.39,270.0,top
R1014,90.06,-128.4,90.0,top
R1015,88.6,-137.29,90.0,bottom
R1016,95.385,-133.76,180.0,top
R1017,94.385,-132.11,180.0,top
R1018,89.6915,-142.01,90.0,top
R1019,86.485,-133.61,0.0,top
R1020,87.635,-132.26,0.0,top
